1,,"{p1} grabs a shovel."
1,,"{p1} grabs a backpack and retreats."
2,,"{p1} and {p2} fight for a bag. {p1} gives up and retreats."
2,,"{p1} and {p2} fight for a bag. {p2} gives up and retreats."
1,,"{p1} finds a bow, some arrows, and a quiver."
1,,"{p1} runs into the cornucopia and hides."
2,,"{p1} rips a mace out of {p2}'s hands."
1,,"{p1} finds a canteen full of water."
1,,"{p1} stays at the cornucopia for resources."
1,,"{p1} gathers as much food as the can."
1,,"{p1} grabs a sword."
1,,"{p1} takes a spear from inside the cornucopia."
1,,"{p1} finds a bag full of explosives."
1,,"{p1} clutches a first aid kit and runs away."
1,,"{p1} takes a sickle from inside the cornucopia."
3,,"{p1}, {p2}, and {p3} work together to get as many supplies as possible."
1,,"{p1} runs away with a lighter and some rope."
1,,"{p1} snatches a bottle of alcohol and a rag."
1,,"{p1} finds a backpack full of camping equipment."
1,,"{p1} grabs a backpack, not realizing it is empty."
2,,"{p1} breaks {p2}'s nose for a basket of bread."
4,,"{p1}, {p2}, {p3}, and {p4} share everything they gathered before running."
1,,"{p1} retrieves a trident from inside the cornucopia."
2,,"{p1} grabs a jar of fishing bait while {p2} gets fishing gear."
2,,"{p1} scares {p2} away from the cornucopia."
1,,"{p1} grabs a shield leaning on the cornucopia."
1,,"{p1} snatches a pair of sais."
1,,"{p1} steps off their podium too soon and blows up."
2,2,"{p1} throws a knife into {p2}'s head."
1,1,"{p1} accidently steps on a landmine."
2,2,"{p1} catches {p2} off guard and kills them."
3,3,"{p1} and {p2} work together to drown {p3}."
2,2,"{p1} strangles {p2} after engaging in a fist fight."
2,2,"{p1} shoots an arrow into {p2}'s head."
1,1,"{p1} cannot handle the circumstances and commits suicide."
2,2,"{p1} bashes {p2}'s head against a rock several times."
2,2,"{p1} snaps {p2}'s neck."
2,2,"{p1} decapitates {p2} with a sword."
2,2,"{p1} spears {p2} in the abdomen."
2,2,"{p1} sets {p2} on fire with a molotov."
1,1,"{p1} falls into a pit and dies."
2,2,"{p1} stabs {p2} while their back is turned."
2,2,"{p1} severely injures {p2}, but puts them out of their misery."
2,2,"{p1} severely injures {p2} and leaves them to die."
2,2,"{p1} bashes {p2}'s head in with a mace."
2,2,"{p1} pushes {p2} off a cliff during a knife fight."
2,2,"{p1} throws a knife into {p2}'s chest."
2,1,"{p1} is unable to convince {p2} to not kill them."
2,2,"{p1} convinces {p2} to not kill them, only to kill {p2} instead."
1,1,"{p1} falls into a frozen lake and drowns."
3,3,"{p1}, {p2}, and {p3} start fighting, but {p2} runs away as {p1} kills {p3}."
2,2,"{p1} kills {p2} with their own weapon."
2,2,"{p1} overpowers {p2}, killing them."
2,2,"{p1} sets an explosive off, killing {p2}."
3,23,"{p1} sets an explosive off, killing {p2}, and {p3}."
4,234,"{p1} sets an explosive off, killing {p2}, {p3}, and {p4}."
5,2345,"{p1} sets an explosive off, killing {p2}, {p3}, {p4} and {p5}."
2,2,"{p1} kills {p2} as they tries to run."
2,12,"{p1} and {p2} threaten a double suicide. It fails and they die."
4,1234,"{p1}, {p2}, {p3}, and {p4} form a suicide pact, killing themselves."
2,2,"{p1} kills {p2} with a hatchet."
4,34,"{p1} and {p2} fight {p3} and {p4}. {p1} and {p2} survive."
4,12,"{p1} and {p2} fight {p3} and {p4}. {p3} and {p4} survive."
3,1,"{p1} attacks {p2}, but {p3} protects them, killing {p1}."
2,2,"{p1} severely slices {p2} with a sword."
2,2,"{p1} strangles {p2} with a rope."
2,2,"{p1} kills {p2} for their supplies."
3,3,"{p1} shoots an arrow at {p2}, but misses and kills {p3} instead."
2,2,"{p1} shoots a poisonous blow dart into {p2}'s neck, slowly killing them."
2,2,"{p1} stabs {p2} with a tree branch."
2,2,"{p1} stabs {p2} in the back with a trident."
3,23,"{p1}, {p2}, and {p3} get into a fight. {p1} triumphantly kills them both."
3,13,"{p1}, {p2}, and {p3} get into a fight. {p2} triumphantly kills them both."
3,12,"{p1}, {p2}, and {p3} get into a fight. {p3} triumphantly kills them both."
2,2,"{p1} finds {p2} hiding in the cornucopia and kills them."
2,2,"{p1} finds {p2} hiding in the cornucopia, but {p2} kills them."
2,2,"{p1} kills {p2} with a sickle."
2,2,"{p1} and {p2} fight for a bag. {p1} strangles {p2} with the straps and runs."
2,1,"{p1} and {p2} fight for a bag. {p2} strangles {p1} with the straps and runs."
2,2,"{p1} repeatedly stabs {p2} to death with sais."
